sample_output_rna	sample_output_ribo
ENST00000423214	186.698	8.63857
ENST00000359759	4.06792	12.041
ENST00000417954	0	0
ENST00000567670	3.9892	1.67507
ENST00000311124	94.78	36.3124
ENST00000380010	32.9989	15.6899
ENST00000427839	2.17339	2.30518
ENST00000443742	0	0
ENST00000485649	0.058455	0.0174919
ENST00000400314	31.4125	12.0542
ENST00000400310	0	0
ENST00000400309	0	0
ENST00000400308	35.6169	7.43987
ENST00000400305	328.035	74.6733
ENST00000400304	9.52354	3.77835
ENST00000449640	31.4125	12.0542
ENST00000601068	0	0
ENST00000593412	0	0
ENST00000361866	938	1028
ENST00000300527	274.478	189.841
ENST00000436769	0	0
ENST00000409416	334.147	138.302
ENST00000397763	28.4063	10.5156
ENST00000413758	37.4151	11.5233
ENST00000357838	28.4063	10.5156
ENST00000310645	334.147	138.302
ENST00000291670	31.1212	0.5
ENST00000397748	0	0
ENST00000446405	5.75762	0
ENST00000397746	31.1212	0.5
ENST00000397743	0	0
ENST00000359679	0	0
ENST00000355384	0	0
ENST00000330205	17.9519	67.3195
ENST00000291672	32.0481	87.6805
ENST00000356396	182.953	41.1575
ENST00000397728	182.953	41.1575
ENST00000419093	9.54209	0
ENST00000522411	32.1601	6.8281
ENST00000450351	50.452	15.7817
ENST00000457828	942.94	241.075
ENST00000594486	71	0
ENST00000397708	743.407	193.428
ENST00000426537	9.18479	7.14372
ENST00000291688	743.408	193.428
ENST00000397701	29.5262	2.70769
ENST00000397694	27.6385	1.7757
ENST00000329319	29.5262	2.70769
ENST00000339195	32.783	3.10124
ENST00000397692	0	0
ENST00000397691	29.5262	2.70769
ENST00000491666	51	0
ENST00000397683	0	0
ENST00000417060	0	0
ENST00000397682	0	0
ENST00000291691	0	0
ENST00000397679	0	0
ENST00000397680	0	0
ENST00000397685	0	0
ENST00000359568	759.664	914.259
ENST00000418394	223.336	66.7409
ENST00000400274	13.9769	3.85329
ENST00000457905	82.0532	23.3384
ENST00000466639	0	0
ENST00000435722	114.773	33.9557
ENST00000417564	604.526	172.53
ENST00000318711	0.78959	0.225197
ENST00000427143	118.882	30.0976
ENST00000291700	1523.91	249.043
ENST00000367071	31.1892	26.9137
ENST00000397648	1523.91	249.043
ENST00000355680	523.006	67.7133
ENST00000397638	523.006	67.7133
ENST00000397637	523.006	67.7133
ENST00000334494	7.79246	0.266443
ENST00000397628	37.4378	1.49208
ENST00000440086	0	0
ENST00000455177	428.163	12.1816
ENST00000458387	218.051	18.9168
ENST00000451211	375.169	34.2794
ENST00000291705	1885.37	86.7238
