sample_output_rna	sample_output_ribo
ENST00000398229	0	0
ENST00000398227	2160.33	366.797021
ENST00000349112	0	0
ENST00000398224	0	0
ENST00000539837	0	0
ENST00000330317	50.7848	578.318866
ENST00000398208	50.7848	578.318866
ENST00000354250	178.785	501.035873
ENST00000340344	6057.69	16445.713991
ENST00000291547	300.532	318.941361
ENST00000432907	156.947	147.971464
ENST00000398158	0.00173006	0.000862
ENST00000398165	0.00173006	0.000862
ENST00000359624	0.00173006	0.000862
ENST00000352178	0.00173006	0.000862
ENST00000451248	1723.26	456.010215
ENST00000458223	0	0
ENST00000430013	0	0
ENST00000441030	3947.25	2850.437818
ENST00000398168	0	0
ENST00000544202	4133.92	2087.989584
ENST00000459639	2449.69	2589.557085
ENST00000464750	5322.58	4989.617230
ENST00000380276	245.04	183.049972
ENST00000291552	1723.11	1287.199451
ENST00000398137	2449.69	2589.557085
ENST00000433840	0	0
ENST00000291554	0	0
ENST00000398133	0	0
ENST00000398132	0	0
ENST00000270162	76.4258	992.043552
ENST00000291560	27.5782	0.000000
ENST00000443485	0	0
ENST00000542962	36.6605	0.000000
ENST00000340648	131.479	855.764397
ENST00000398081	0	0
ENST00000468090	320.878	998.863507
ENST00000291565	1407.65	4042.867311
ENST00000327574	64.6599	159.530880
ENST00000467908	4885.63	6137.434147
ENST00000291568	7128.22	27178.771133
ENST00000497547	601.895	1490.529445
ENST00000291572	877.919	455.460461
ENST00000448287	5973.62	3556.211244
ENST00000398061	877.919	455.460461
ENST00000327505	877.919	455.460461
ENST00000445582	1831.03	1015.724896
ENST00000398063	877.919	455.460461
ENST00000398058	877.92	455.461528
ENST00000457068	1929.5	925.258974
ENST00000422850	1929.5	925.258974
ENST00000546158	877.919	455.460461
ENST00000380221	0	0
ENST00000291574	333.977	1406.100273
ENST00000422875	413.667	864.061524
ENST00000291576	393.46	2986.615873
ENST00000456705	348.596	883.136867
ENST00000291577	3919.56	6216.938014
ENST00000427803	110.447	210.061436
ENST00000348499	839.976	1440.907026
ENST00000389690	128.11	134.367917
ENST00000449622	36.488	36.782127
ENST00000419699	3677.56	2391.459355
ENST00000598764	7.37707	0.000000
ENST00000344330	0	0
ENST00000407780	394.043	1044.344995
ENST00000400379	30.2393	46.487323
ENST00000400377	964.008	2602.695305
ENST00000436357	0	0
ENST00000270172	0	0
ENST00000431166	0	0
ENST00000418993	0	0
ENST00000291582	15.6293	129.018332
ENST00000355347	28.3785	125.439589
ENST00000329347	7.48213	0.000000
ENST00000349048	3614.34	5754.854331
ENST00000403390	0	0
ENST00000339818	1279.87	2239.686026
ENST00000397956	60.2161	64.818089
ENST00000325223	1692.54	2977.497559
ENST00000300482	349.42	389.748645
ENST00000431901	508.183	36.135684
ENST00000397928	349.42	389.748645
ENST00000397932	0	0
ENST00000300481	1.486	1.493295
ENST00000291592	5.40922	0.000000
ENST00000596691	5.80386	0.000000
ENST00000323084	0	0
ENST00000397916	8.91175	0.000000
